sitename,county,longitude,latitude,sid
Hukou,Hsinchu County,121.03886894,24.90009696,0
Zhongming,Taichung City,120.641092,24.151958,1
Zhudong,Hsinchu County,121.08895493,24.74091408,2
Hsinchu,Hsinchu City,120.97236752,24.8056356,3
Toufen,Miaoli County,120.89869286,24.69690679,4
Miaoli,Miaoli County,120.82011468,24.56499183,5
Sanyi,Miaoli County,120.75956754,24.38248443,6
Fengyuan,Taichung City,120.74252414,24.25699731,7
Shalu,Taichung City,120.568794,24.225628,8
Dali,Taichung City,120.67844444,24.09961111,9
Xitun,Taichung City,120.616917,24.162197,10
Pingzhen,Taoyuan City,121.203986,24.952786,11
Xianxi,Changhua County,120.469061,24.131672,12
Erlin,Changhua County,120.409653,23.925175,13
Nantou,Nantou County,120.685306,23.913,14
Douliu,Yunlin County,120.544994,23.711853,15
Lunbei,Yunlin County,120.348742,23.757547,16
Xingang,Chiayi County,120.345531,23.554839,17
Puzi,Chiayi County,120.2478,23.46538,18
Taixi,Yunlin County,120.19933333,23.702175,19
Longtan,Taoyuan City,121.21645772,24.86400048,20
Guanyin,Taoyuan City,121.08283092,25.03556747,21
Xinying,Tainan City,120.31725,23.305633,22
Cailiao,New Taipei City,121.481028,25.06895,23
Pingtung (Fangshan),Pingtung County,120.651472,22.260899,24
Keelung,Keelung City,121.760056,25.129167,25
Xizhi,New Taipei City,121.64081,25.06624,26
Wanli,New Taipei City,121.689881,25.179667,27
Xindian,New Taipei City,121.537778,24.977222,28
Tucheng,New Taipei City,121.451861,24.982528,29
Banqiao,New Taipei City,121.458667,25.012972,30
Xinzhuang,New Taipei City,121.4325,25.037972,31
Linkou,New Taipei City,121.36548982,25.07798949,32
Dayuan,Taoyuan City,121.20251473,25.06100357,33
Shilin,Taipei City,121.51666356,25.10334003,34
Zhongshan,Taipei City,121.526528,25.062361,35
Wanhua,Taipei City,121.507972,25.046503,36
Guting,Taipei City,121.529556,25.020608,37
Songshan,Taipei City,121.578611,25.05,38
Datong,Taipei City,121.51342074,25.06331455,39
Taoyuan,Taoyuan City,121.30500531,24.9947107,40
Chiayi,Chiayi City,120.44125148,23.46477865,41
Changhua,Changhua County,120.541519,24.066,42
Shanhua,Tainan City,120.29740529,23.11337642,43
Yilan,Yilan County,121.746394,24.747917,44
Sanchong,New Taipei City,121.493806,25.072611,45
Zhongli,Taoyuan City,121.221667,24.953278,46
Zhushan,Nantou County,120.677306,23.756389,47
Yonghe,New Taipei City,121.516306,25.017,48
Fuxing,Kaohsiung City,120.312017,22.608711,49
