sid,longitude,latitude
0,121.038869,24.900097
1,120.641092,24.151958
2,121.088955,24.740914
3,120.972368,24.805636
4,120.898693,24.696907
5,120.820115,24.564992
6,120.759568,24.382484
7,120.742524,24.256997
8,120.568794,24.225628
9,120.678444,24.099611
10,120.616917,24.162197
11,121.203986,24.952786
12,120.469061,24.131672
13,120.409653,23.925175
14,120.685306,23.913000
15,120.544994,23.711853
16,120.348742,23.757547
17,120.345531,23.554839
18,120.247800,23.465380
19,120.199333,23.702175
20,121.216458,24.864000
21,121.082831,25.035567
22,120.317250,23.305633
23,121.481028,25.068950
24,120.651472,22.260899
25,121.760056,25.129167
26,121.640810,25.066240
27,121.689881,25.179667
28,121.537778,24.977222
29,121.451861,24.982528
30,121.458667,25.012972
31,121.432500,25.037972
32,121.365490,25.077989
33,121.202515,25.061004
34,121.516664,25.103340
35,121.526528,25.062361
36,121.507972,25.046503
37,121.529556,25.020608
38,121.578611,25.050000
39,121.513421,25.063315
40,121.305005,24.994711
41,120.441251,23.464779
42,120.541519,24.066000
43,120.297405,23.113376
44,121.746394,24.747917
45,121.493806,25.072611
46,121.221667,24.953278
47,120.677306,23.756389
48,121.516306,25.017000
49,120.312017,22.608711
50,120.967903,23.968842
51,120.217500,23.048197
52,119.566158,23.569031
53,121.161933,23.045083
54,120.251825,23.753506
55,121.536569,25.296817
56,120.563730,23.961170
57,120.245350,22.879856
58,120.245831,23.179047
59,120.377220,22.352220
60,121.383528,24.949028
61,121.792928,24.632203
62,118.312256,24.432133
63,120.292917,22.674861
64,120.530542,22.883583
65,120.305689,22.757506
66,120.332631,22.689056
67,120.357422,22.628126
68,120.425311,22.564136
69,120.411750,22.479500
70,120.328289,22.733667
71,120.219479,22.989283
72,120.286761,22.633903
73,120.337736,22.565833
74,120.488033,22.673081
75,120.561175,22.523108
76,120.788928,21.958069
77,121.150450,22.755358
78,121.599769,23.971306
79,120.308334,22.604451
80,120.269642,23.854931
81,120.655254,24.390175
82,121.529583,25.182722
83,121.449239,25.164500
84,119.952724,26.153736
85,119.931494,26.151884
86,120.665010,22.585640
87,120.436778,23.446473
88,120.655750,24.391000
89,120.220850,22.991230
90,121.317881,25.001327
91,121.815708,24.765468
92,120.222381,22.985258
93,120.183397,23.236881
94,121.642300,25.067131
95,120.247811,23.467122
96,120.679094,23.907506
97,121.082761,25.035503
98,121.088903,24.740644
99,120.741711,24.256586
100,120.898572,24.696969
101,120.972075,24.805619
102,121.216350,24.863869
103,120.820200,24.565269
104,121.513311,25.063200
105,121.201811,25.060344
106,121.038653,24.900142
107,121.308722,24.986778
108,120.758833,24.382942
109,120.591281,26.257996
110,121.376869,25.077197
111,121.547380,25.292280
112,120.297142,23.115097
113,120.440833,23.462778
114,120.307564,22.605386
115,120.358083,22.627392
116,121.318208,25.001219
117,120.590369,22.384742
118,120.202617,22.984581
119,121.515389,25.105417
120,121.317950,25.001308
121,119.949875,26.160469
122,0.000000,0.000000
123,121.184472,24.924167
124,120.286500,22.633889
125,121.385000,25.654444
126,120.572522,24.152650
127,121.515389,25.105417
128,121.513311,25.063200
129,120.377220,22.352220
130,120.328289,22.733667
131,120.288086,22.632567
132,121.515389,25.105417
133,120.377220,22.352220
134,121.003792,22.650525
135,121.003792,22.650525
136,120.245350,22.879856
137,120.591167,22.370947
138,121.317950,25.001308
139,120.581786,23.950583
140,120.543033,22.547794
141,120.677689,24.099611
142,120.962314,24.819533
143,120.124444,23.264722
144,120.273110,23.843130
145,121.504103,25.012314
146,121.244261,25.103636
147,121.244261,25.103636
148,120.327244,22.885458
149,120.687864,23.981872
150,120.528786,23.891778
151,120.348742,23.757547
152,120.247810,23.467123
153,121.304383,24.995368
154,120.202842,23.717533
155,121.536763,25.298562
156,120.440833,23.462778
157,120.425081,22.565747
158,120.242056,23.470111
159,121.128044,25.063039
160,120.281814,23.843158
161,120.124167,23.265419
162,121.127806,25.061333
163,121.319964,24.994789
164,120.348742,23.757547
165,120.348742,23.757547
