sid,aqi
0,47.5
1,51.3
2,43.3
3,44.7
4,45.0
5,45.5
6,43.7
7,47.3
8,48.6
9,49.9
10,53.9
11,46.3
12,53.1
13,59.2
14,56.0
15,63.0
16,59.5
17,60.7
18,56.9
19,48.8
20,44.2
21,48.4
22,57.9
23,44.8
24,45.1
25,42.0
26,43.2
27,46.7
28,41.4
29,45.1
30,43.8
31,46.0
32,41.6
33,44.2
34,42.6
35,43.8
36,43.5
37,42.8
38,44.5
40,46.0
41,58.0
42,52.1
43,55.4
44,35.5
46,49.5
47,62.0
48,43.9
49,61.2
50,52.3
51,61.4
52,47.5
53,26.8
54,53.4
55,48.9
56,54.4
57,55.2
58,55.4
59,58.8
60,45.3
61,34.5
62,60.3
63,62.6
64,54.5
65,64.2
66,64.8
67,58.0
68,66.0
69,65.3
70,54.5
71,57.5
72,55.8
73,62.7
74,62.2
75,61.8
76,36.1
77,30.5
78,32.7
79,58.3
80,50.6
81,37.4
82,40.0
83,41.1
84,43.8
85,59.2
86,73.5
88,49.1
89,53.7
90,41.6
91,40.9
92,74.8
93,49.3
94,43.2
95,55.0
96,32.3
97,47.6
98,44.3
99,50.3
100,47.2
101,46.4
102,45.5
103,46.6
105,48.0
106,48.7
107,47.4
108,44.8
109,51.7
110,43.6
111,49.4
112,61.0
113,60.7
114,62.9
115,67.9
116,37.9
117,54.5
118,62.5
119,40.2
120,51.7
121,63.9
122,64.3
123,85.7
124,80.4
125,110.2
126,71.7
127,42.4
129,60.0
130,66.0
131,69.1
132,50.0
133,71.8
134,51.2
135,45.6
136,41.9
137,61.8
138,25.0
139,59.0
140,38.6
141,59.6
142,66.7
143,48.4
144,53.6
145,42.2
146,44.9
147,63.0
148,73.7
149,48.7
150,76.4
151,54.0
152,65.5
153,51.3
154,65.4
155,54.2
156,72.2
157,79.5
158,91.2
159,70.6
160,85.4
161,126.0
162,85.0
163,78.0
164,52.6
165,44.3
