longitude,latitude,aqi
121.038869,24.900097,47.5
120.641092,24.151958,51.3
121.088955,24.740914,43.3
120.972368,24.805636,44.7
120.898693,24.696907,45.0
120.820115,24.564992,45.5
120.759568,24.382484,43.7
120.742524,24.256997,47.3
120.568794,24.225628,48.6
120.678444,24.099611,49.9
120.616917,24.162197,53.9
121.203986,24.952786,46.3
120.469061,24.131672,53.1
120.409653,23.925175,59.2
120.685306,23.913000,56.0
120.544994,23.711853,63.0
120.348742,23.757547,59.5
120.345531,23.554839,60.7
120.247800,23.465380,56.9
120.199333,23.702175,48.8
121.216458,24.864000,44.2
121.082831,25.035567,48.4
120.317250,23.305633,57.9
121.481028,25.068950,44.8
120.651472,22.260899,45.1
121.760056,25.129167,42.0
121.640810,25.066240,43.2
121.689881,25.179667,46.7
121.537778,24.977222,41.4
121.451861,24.982528,45.1
121.458667,25.012972,43.8
121.432500,25.037972,46.0
121.365490,25.077989,41.6
121.202515,25.061004,44.2
121.516664,25.103340,42.6
121.526528,25.062361,43.8
121.507972,25.046503,43.5
121.529556,25.020608,42.8
121.578611,25.050000,44.5
121.305005,24.994711,46.0
120.441251,23.464779,58.0
120.541519,24.066000,52.1
120.297405,23.113376,55.4
121.746394,24.747917,35.5
121.221667,24.953278,49.5
120.677306,23.756389,62.0
121.516306,25.017000,43.9
120.312017,22.608711,61.2
120.967903,23.968842,52.3
120.217500,23.048197,61.4
119.566158,23.569031,47.5
121.161933,23.045083,26.8
120.251825,23.753506,53.4
121.536569,25.296817,48.9
120.563730,23.961170,54.4
120.245350,22.879856,55.2
120.245831,23.179047,55.4
120.377220,22.352220,58.8
121.383528,24.949028,45.3
121.792928,24.632203,34.5
118.312256,24.432133,60.3
120.292917,22.674861,62.6
120.530542,22.883583,54.5
120.305689,22.757506,64.2
120.332631,22.689056,64.8
120.357422,22.628126,58.0
120.425311,22.564136,66.0
120.411750,22.479500,65.3
120.328289,22.733667,54.5
120.219479,22.989283,57.5
120.286761,22.633903,55.8
120.337736,22.565833,62.7
120.488033,22.673081,62.2
120.561175,22.523108,61.8
120.788928,21.958069,36.1
121.150450,22.755358,30.5
121.599769,23.971306,32.7
120.308334,22.604451,58.3
120.269642,23.854931,50.6
120.655254,24.390175,37.4
121.529583,25.182722,40.0
121.449239,25.164500,41.1
119.952724,26.153736,43.8
119.931494,26.151884,59.2
120.665010,22.585640,73.5
120.655750,24.391000,49.1
120.220850,22.991230,53.7
121.317881,25.001327,41.6
121.815708,24.765468,40.9
120.222381,22.985258,74.8
120.183397,23.236881,49.3
121.642300,25.067131,43.2
120.247811,23.467122,55.0
120.679094,23.907506,32.3
121.082761,25.035503,47.6
121.088903,24.740644,44.3
120.741711,24.256586,50.3
120.898572,24.696969,47.2
120.972075,24.805619,46.4
121.216350,24.863869,45.5
120.820200,24.565269,46.6
121.201811,25.060344,48.0
121.038653,24.900142,48.7
121.308722,24.986778,47.4
120.758833,24.382942,44.8
120.591281,26.257996,51.7
121.376869,25.077197,43.6
121.547380,25.292280,49.4
120.297142,23.115097,61.0
120.440833,23.462778,60.7
120.307564,22.605386,62.9
120.358083,22.627392,67.9
121.318208,25.001219,37.9
120.590369,22.384742,54.5
120.202617,22.984581,62.5
121.515389,25.105417,40.2
121.317950,25.001308,51.7
119.949875,26.160469,63.9
0.000000,0.000000,64.3
121.184472,24.924167,85.7
120.286500,22.633889,80.4
121.385000,25.654444,110.2
120.572522,24.152650,71.7
121.515389,25.105417,42.4
120.377220,22.352220,60.0
120.328289,22.733667,66.0
120.288086,22.632567,69.1
121.515389,25.105417,50.0
120.377220,22.352220,71.8
121.003792,22.650525,51.2
121.003792,22.650525,45.6
120.245350,22.879856,41.9
120.591167,22.370947,61.8
121.317950,25.001308,25.0
120.581786,23.950583,59.0
120.543033,22.547794,38.6
120.677689,24.099611,59.6
120.962314,24.819533,66.7
120.124444,23.264722,48.4
120.273110,23.843130,53.6
121.504103,25.012314,42.2
121.244261,25.103636,44.9
121.244261,25.103636,63.0
120.327244,22.885458,73.7
120.687864,23.981872,48.7
120.528786,23.891778,76.4
120.348742,23.757547,54.0
120.247810,23.467123,65.5
121.304383,24.995368,51.3
120.202842,23.717533,65.4
121.536763,25.298562,54.2
120.440833,23.462778,72.2
120.425081,22.565747,79.5
120.242056,23.470111,91.2
121.128044,25.063039,70.6
120.281814,23.843158,85.4
120.124167,23.265419,126.0
121.127806,25.061333,85.0
121.319964,24.994789,78.0
120.348742,23.757547,52.6
120.348742,23.757547,44.3
